RK,TIERS,PLAYER NAME,TEAM,POS,BYE WEEK,SOS SEASON,ECR VS. ADP
1,1,Christian McCaffrey,SF,RB1,9,2 out of 5 stars,0
2,1,CeeDee Lamb,DAL,WR1,7,3 out of 5 stars,1
3,1,Tyreek Hill,MIA,WR2,6,2 out of 5 stars,-1
4,1,Ja'Marr Chase,CIN,WR3,12,2 out of 5 stars,3
5,1,Amon-Ra St. Brown,DET,WR4,5,4 out of 5 stars,1
6,1,Breece Hall,NYJ,RB2,12,2 out of 5 stars,-2
7,1,Bijan Robinson,ATL,RB3,12,4 out of 5 stars,-2
8,1,Justin Jefferson,MIN,WR5,6,3 out of 5 stars,0
9,2,A.J. Brown,PHI,WR6,5,2 out of 5 stars,1
10,2,Garrett Wilson,NYJ,WR7,12,4 out of 5 stars,2
11,2,Jahmyr Gibbs,DET,RB4,5,3 out of 5 stars,2
12,2,Jonathan Taylor,IND,RB5,14,2 out of 5 stars,-1
13,2,Puka Nacua,LAR,WR8,6,3 out of 5 stars,1
14,2,Marvin Harrison Jr.,ARI,WR9,11,3 out of 5 stars,3
15,2,Saquon Barkley,PHI,RB6,5,4 out of 5 stars,-6
16,2,Davante Adams,LV,WR10,10,3 out of 5 stars,4
17,3,Drake London,ATL,WR11,12,4 out of 5 stars,6
18,3,Chris Olave,NO,WR12,12,3 out of 5 stars,6
19,3,Josh Allen,BUF,QB1,12,1 out of 5 stars,3
20,3,Travis Etienne Jr.,JAC,RB7,12,2 out of 5 stars,-2
21,3,Jaylen Waddle,MIA,WR13,6,2 out of 5 stars,23
22,3,Jalen Hurts,PHI,QB2,5,2 out of 5 stars,10
23,3,Michael Pittman Jr.,IND,WR14,14,4 out of 5 stars,12
24,3,Mike Evans,TB,WR15,11,3 out of 5 stars,9
25,3,Cooper Kupp,LAR,WR16,6,3 out of 5 stars,11
26,3,Nico Collins,HOU,WR17,14,3 out of 5 stars,1
27,3,Brandon Aiyuk,SF,WR18,9,2 out of 5 stars,10
28,3,Kyren Williams,LAR,RB8,6,3 out of 5 stars,-13
29,3,Sam LaPorta,DET,TE1,5,3 out of 5 stars,0
30,3,Patrick Mahomes II,KC,QB3,6,3 out of 5 stars,-4
31,4,Travis Kelce,KC,TE2,6,3 out of 5 stars,-10
32,4,Isiah Pacheco,KC,RB9,6,3 out of 5 stars,-13
33,4,Lamar Jackson,BAL,QB4,14,4 out of 5 stars,6
34,4,Deebo Samuel Sr.,SF,WR19,9,2 out of 5 stars,-3
35,4,De'Von Achane,MIA,RB10,6,3 out of 5 stars,-10
36,4,DeVonta Smith,PHI,WR20,5,2 out of 5 stars,10
37,4,DJ Moore,CHI,WR21,7,4 out of 5 stars,8
38,4,DK Metcalf,SEA,WR22,10,3 out of 5 stars,4
39,4,Malik Nabers,NYG,WR23,11,3 out of 5 stars,11
40,4,Derrick Henry,BAL,RB11,14,3 out of 5 stars,-24
41,4,Rachaad White,TB,RB12,11,5 out of 5 stars,-7
42,4,Alvin Kamara,NO,RB13,12,5 out of 5 stars,-2
43,4,Amari Cooper,CLE,WR24,10,3 out of 5 stars,11
44,4,Stefon Diggs,HOU,WR25,14,3 out of 5 stars,-3
45,5,James Cook,BUF,RB14,12,2 out of 5 stars,-15
46,5,Josh Jacobs,GB,RB15,10,1 out of 5 stars,-18
47,5,Anthony Richardson,IND,QB5,14,5 out of 5 stars,5
48,5,Trey McBride,ARI,TE3,11,5 out of 5 stars,0
49,5,Zay Flowers,BAL,WR26,14,3 out of 5 stars,13
50,5,Rashee Rice,KC,WR27,6,3 out of 5 stars,23
51,5,Tee Higgins,CIN,WR28,12,2 out of 5 stars,8
52,5,Joe Mixon,HOU,RB16,14,3 out of 5 stars,-14
53,5,C.J. Stroud,HOU,QB6,14,2 out of 5 stars,-4
54,5,Terry McLaurin,WAS,WR29,14,3 out of 5 stars,18
55,5,Kenneth Walker III,SEA,RB17,10,4 out of 5 stars,-12
56,5,George Pickens,PIT,WR30,9,1 out of 5 stars,1
57,5,Kyler Murray,ARI,QB7,11,2 out of 5 stars,14
58,5,Christian Kirk,JAC,WR31,12,4 out of 5 stars,17
59,5,Mark Andrews,BAL,TE4,14,3 out of 5 stars,-12
60,5,Tank Dell,HOU,WR32,14,3 out of 5 stars,4
61,5,Joe Burrow,CIN,QB8,12,2 out of 5 stars,0
62,5,Chris Godwin,TB,WR33,11,3 out of 5 stars,16
63,5,Dak Prescott,DAL,QB9,7,2 out of 5 stars,6
64,5,Dalton Kincaid,BUF,TE5,12,2 out of 5 stars,-13
65,5,James Conner,ARI,RB18,11,2 out of 5 stars,-12
66,5,Keenan Allen,CHI,WR34,7,4 out of 5 stars,10
67,5,Diontae Johnson,CAR,WR35,11,5 out of 5 stars,17
68,5,Aaron Jones,MIN,RB19,6,3 out of 5 stars,-12
69,5,Rhamondre Stevenson,NE,RB20,14,2 out of 5 stars,-4
70,5,Jordan Love,GB,QB10,10,5 out of 5 stars,0
71,6,Calvin Ridley,TEN,WR36,5,4 out of 5 stars,6
72,6,David Montgomery,DET,RB21,5,3 out of 5 stars,-12
73,6,Jayden Daniels,WAS,QB11,14,3 out of 5 stars,28
74,6,D'Andre Swift,CHI,RB22,7,2 out of 5 stars,-16
75,6,Najee Harris,PIT,RB23,9,4 out of 5 stars,-7
76,6,Evan Engram,JAC,TE6,12,3 out of 5 stars,-10
77,6,Brock Purdy,SF,QB12,9,2 out of 5 stars,14
78,6,Zamir White,LV,RB24,10,3 out of 5 stars,-11
79,6,Javonte Williams,DEN,RB25,14,4 out of 5 stars,4
80,6,Jayden Reed,GB,WR37,10,4 out of 5 stars,1
81,6,Kyle Pitts,ATL,TE7,12,3 out of 5 stars,-18
82,6,Raheem Mostert,MIA,RB26,6,3 out of 5 stars,-8
83,6,Jaxon Smith-Njigba,SEA,WR38,10,3 out of 5 stars,17
84,6,Tony Pollard,TEN,RB27,5,3 out of 5 stars,-5
85,6,George Kittle,SF,TE8,9,4 out of 5 stars,-30
86,6,Tua Tagovailoa,MIA,QB13,6,2 out of 5 stars,29
87,6,Caleb Williams,CHI,QB14,7,4 out of 5 stars,18
88,6,Jaylen Warren,PIT,RB28,9,4 out of 5 stars,-3
89,6,Brian Robinson Jr.,WAS,RB29,14,3 out of 5 stars,-1
90,6,Jared Goff,DET,QB15,5,4 out of 5 stars,24
91,6,DeAndre Hopkins,TEN,WR39,5,4 out of 5 stars,7
92,6,Xavier Worthy,KC,WR40,6,3 out of 5 stars,-5
93,6,Jake Ferguson,DAL,TE9,7,2 out of 5 stars,-13
94,7,Tyjae Spears,TEN,RB30,5,3 out of 5 stars,2
95,7,Devin Singletary,NYG,RB31,11,3 out of 5 stars,-3
96,7,Trevor Lawrence,JAC,QB16,12,5 out of 5 stars,31
97,7,Rome Odunze,CHI,WR41,7,4 out of 5 stars,-3
98,7,David Njoku,CLE,TE10,10,3 out of 5 stars,-16
99,7,Courtland Sutton,DEN,WR42,14,2 out of 5 stars,17
100,7,Christian Watson,GB,WR43,10,4 out of 5 stars,-3
101,7,Jordan Addison,MIN,WR44,6,3 out of 5 stars,8
102,7,Brock Bowers,LV,TE11,10,4 out of 5 stars,-7
103,7,Hollywood Brown,KC,WR45,6,3 out of 5 stars,-1
104,7,Dallas Goedert,PHI,TE12,5,4 out of 5 stars,4
105,7,Ladd McConkey,LAC,WR46,5,3 out of 5 stars,-6
106,7,Kirk Cousins,ATL,QB17,12,3 out of 5 stars,35
107,7,Austin Ekeler,WAS,RB32,14,3 out of 5 stars,-21
108,7,Justin Herbert,LAC,QB18,5,2 out of 5 stars,23
109,7,Chase Brown,CIN,RB33,12,3 out of 5 stars,3
110,7,Brian Thomas Jr.,JAC,WR47,12,4 out of 5 stars,9
