Rank,Tier,Name,Team,Position,BYE WEEK,SOS SEASON,ECR VS. ADP
1,1,Ja'Marr Chase,CIN,WR,10,3 out of 5 stars,0
2,1,Bijan Robinson,ATL,RB,5,4 out of 5 stars,0
3,1,Justin Jefferson,MIN,WR,6,2 out of 5 stars,1
4,1,CeeDee Lamb,DAL,WR,10,2 out of 5 stars,2
5,2,Jahmyr Gibbs,DET,RB,8,2 out of 5 stars,0
6,2,Puka Nacua,LAR,WR,8,3 out of 5 stars,1
7,2,Malik Nabers,NYG,WR,14,2 out of 5 stars,3
8,2,Amon-Ra St. Brown,DET,WR,8,3 out of 5 stars,0
9,2,Saquon Barkley,PHI,RB,9,3 out of 5 stars,-6
10,2,Nico Collins,HOU,WR,6,4 out of 5 stars,4
11,2,Brian Thomas Jr.,JAC,WR,8,4 out of 5 stars,4
12,3,Drake London,ATL,WR,5,3 out of 5 stars,7
13,3,Christian McCaffrey,SF,RB,14,3 out of 5 stars,-2
14,3,De'Von Achane,MIA,RB,12,4 out of 5 stars,-1
15,3,Ashton Jeanty,LV,RB,8,2 out of 5 stars,-6
16,3,Brock Bowers,LV,TE,8,2 out of 5 stars,2
17,3,A.J. Brown,PHI,WR,9,3 out of 5 stars,-1
18,3,Ladd McConkey,LAC,WR,12,3 out of 5 stars,7
19,3,Trey McBride,ARI,TE,8,5 out of 5 stars,7
20,3,Jaxon Smith-Njigba,SEA,WR,8,3 out of 5 stars,13
21,4,Derrick Henry,BAL,RB,7,4 out of 5 stars,-9
22,4,Garrett Wilson,NYJ,WR,9,4 out of 5 stars,12
23,4,Tyreek Hill,MIA,WR,12,3 out of 5 stars,5
24,4,Josh Allen,BUF,QB,7,4 out of 5 stars,-2
25,4,Tee Higgins,CIN,WR,10,3 out of 5 stars,4
26,4,Lamar Jackson,BAL,QB,7,3 out of 5 stars,-5
27,4,Chase Brown,CIN,RB,10,4 out of 5 stars,0
28,4,Davante Adams,LAR,WR,8,3 out of 5 stars,8
29,4,Bucky Irving,TB,RB,9,3 out of 5 stars,-5
30,4,Josh Jacobs,GB,RB,5,4 out of 5 stars,-13
31,4,Jayden Daniels,WAS,QB,12,2 out of 5 stars,1
32,4,George Kittle,SF,TE,14,3 out of 5 stars,5
33,4,Jonathan Taylor,IND,RB,11,2 out of 5 stars,-13
34,5,Mike Evans,TB,WR,9,3 out of 5 stars,9
35,5,Terry McLaurin,WAS,WR,12,3 out of 5 stars,0
36,5,Jalen Hurts,PHI,QB,9,3 out of 5 stars,3
37,5,Kyren Williams,LAR,RB,8,3 out of 5 stars,-14
38,5,DJ Moore,CHI,WR,5,2 out of 5 stars,10
39,5,Marvin Harrison Jr.,ARI,WR,8,4 out of 5 stars,2
40,5,Breece Hall,NYJ,RB,9,5 out of 5 stars,-9
41,5,Alvin Kamara,NO,RB,11,4 out of 5 stars,-1
42,5,Kenneth Walker III,SEA,RB,8,3 out of 5 stars,0
43,5,DK Metcalf,PIT,WR,5,4 out of 5 stars,7
44,5,Courtland Sutton,DEN,WR,12,3 out of 5 stars,8
45,5,James Cook,BUF,RB,7,4 out of 5 stars,-15
46,5,Rashee Rice,KC,WR,10,3 out of 5 stars,-2
47,5,DeVonta Smith,PHI,WR,9,3 out of 5 stars,7
48,5,Joe Burrow,CIN,QB,10,2 out of 5 stars,-10
49,6,Chuba Hubbard,CAR,RB,14,3 out of 5 stars,-2
50,6,Zay Flowers,BAL,WR,7,3 out of 5 stars,9
51,6,James Conner,ARI,RB,8,3 out of 5 stars,-2
52,6,Omarion Hampton,LAC,RB,12,2 out of 5 stars,-7
53,6,Jaylen Waddle,MIA,WR,12,3 out of 5 stars,21
54,6,Tetairoa McMillan,CAR,WR,14,4 out of 5 stars,14
55,6,Chris Olave,NO,WR,11,4 out of 5 stars,23
56,6,Xavier Worthy,KC,WR,10,3 out of 5 stars,-1
57,6,Joe Mixon,HOU,RB,6,2 out of 5 stars,-11
58,6,Patrick Mahomes II,KC,QB,10,3 out of 5 stars,-5
59,6,Jameson Williams,DET,WR,8,3 out of 5 stars,3
60,6,D'Andre Swift,CHI,RB,5,3 out of 5 stars,-3
61,6,David Montgomery,DET,RB,8,2 out of 5 stars,-5
62,6,Sam LaPorta,DET,TE,8,3 out of 5 stars,-11
63,6,T.J. Hockenson,MIN,TE,6,3 out of 5 stars,1
64,6,George Pickens,DAL,WR,10,2 out of 5 stars,5
65,6,Calvin Ridley,TEN,WR,10,4 out of 5 stars,5
66,6,Baker Mayfield,TB,QB,9,2 out of 5 stars,1
67,7,Travis Hunter,JAC,WR,8,4 out of 5 stars,-7
68,7,Aaron Jones Sr.,MIN,RB,6,3 out of 5 stars,-3
69,7,Chris Godwin,TB,WR,9,3 out of 5 stars,7
70,7,Jerry Jeudy,CLE,WR,9,2 out of 5 stars,3
71,7,TreVeyon Henderson,NE,RB,14,4 out of 5 stars,-10
72,7,RJ Harvey,DEN,RB,12,2 out of 5 stars,-14
73,7,Tony Pollard,TEN,RB,10,2 out of 5 stars,-1
74,7,Bo Nix,DEN,QB,12,4 out of 5 stars,1
75,7,Isiah Pacheco,KC,RB,10,2 out of 5 stars,-9
76,7,Travis Kelce,KC,TE,10,3 out of 5 stars,-13
77,7,Kaleb Johnson,PIT,RB,5,4 out of 5 stars,-6
78,7,Kyler Murray,ARI,QB,8,4 out of 5 stars,10
79,7,Rome Odunze,CHI,WR,5,2 out of 5 stars,2
80,7,Evan Engram,DEN,TE,12,3 out of 5 stars,4
81,7,Jordan Addison,MIN,WR,6,2 out of 5 stars,-1
82,7,Jakobi Meyers,LV,WR,8,4 out of 5 stars,12
83,7,Khalil Shakir,BUF,WR,7,3 out of 5 stars,7
84,7,Jauan Jennings,SF,WR,14,4 out of 5 stars,9
85,7,David Njoku,CLE,TE,9,3 out of 5 stars,1
86,7,Brian Robinson Jr.,WAS,RB,12,2 out of 5 stars,-4
87,7,Stefon Diggs,NE,WR,14,3 out of 5 stars,2
88,7,Mark Andrews,BAL,TE,7,3 out of 5 stars,-11
89,8,Justin Fields,NYJ,QB,9,5 out of 5 stars,11
90,8,Travis Etienne Jr.,JAC,RB,8,2 out of 5 stars,5
91,8,Brock Purdy,SF,QB,14,4 out of 5 stars,13
92,8,Jaylen Warren,PIT,RB,5,4 out of 5 stars,-1
93,8,Dak Prescott,DAL,QB,10,2 out of 5 stars,13
94,8,Caleb Williams,CHI,QB,5,2 out of 5 stars,11
95,8,Justin Herbert,LAC,QB,12,3 out of 5 stars,19
96,8,Josh Downs,IND,WR,11,4 out of 5 stars,23
97,8,Tyrone Tracy Jr.,NYG,RB,14,3 out of 5 stars,-12
98,8,Michael Pittman Jr.,IND,WR,11,4 out of 5 stars,23
99,8,Jared Goff,DET,QB,8,2 out of 5 stars,10
100,8,Jayden Reed,GB,WR,5,2 out of 5 stars,1
101,8,Deebo Samuel Sr.,WAS,WR,12,3 out of 5 stars,-18
102,8,Javonte Williams,DAL,RB,10,2 out of 5 stars,-5
103,8,Ricky Pearsall,SF,WR,14,4 out of 5 stars,-5
104,8,Cooper Kupp,SEA,WR,8,3 out of 5 stars,-17
105,8,Drake Maye,NE,QB,14,5 out of 5 stars,29
106,8,Tucker Kraft,GB,TE,5,2 out of 5 stars,5
107,8,Jake Ferguson,DAL,TE,10,2 out of 5 stars,33
108,8,Quinshon Judkins,CLE,RB,9,4 out of 5 stars,-29
109,8,Jordan Love,GB,QB,5,2 out of 5 stars,21
110,8,Najee Harris,LAC,RB,12,2 out of 5 stars,-7
111,8,Trevor Lawrence,JAC,QB,8,3 out of 5 stars,46
112,8,C.J. Stroud,HOU,QB,6,3 out of 5 stars,21
113,8,Dalton Kincaid,BUF,TE,7,3 out of 5 stars,13
114,8,Zach Charbonnet,SEA,RB,8,3 out of 5 stars,-1
115,8,Brandon Aiyuk,SF,WR,14,4 out of 5 stars,0
116,8,Rhamondre Stevenson,NE,RB,14,4 out of 5 stars,-14
117,8,Darnell Mooney,ATL,WR,5,3 out of 5 stars,1
118,9,Cam Skattebo,NYG,RB,14,3 out of 5 stars,-26
119,9,Tyjae Spears,TEN,RB,10,2 out of 5 stars,5
120,9,Jordan Mason,MIN,RB,6,3 out of 5 stars,-8
121,9,Rachaad White,TB,RB,9,3 out of 5 stars,-4
122,9,Dallas Goedert,PHI,TE,9,3 out of 5 stars,9
123,9,Tyler Warren,IND,TE,11,3 out of 5 stars,-15
124,9,J.J. McCarthy,MIN,QB,6,2 out of 5 stars,11
125,9,Emeka Egbuka,TB,WR,9,3 out of 5 stars,-2
126,9,Christian Kirk,HOU,WR,6,4 out of 5 stars,27
127,9,Matthew Stafford,LAR,QB,8,3 out of 5 stars,39
128,9,Tua Tagovailoa,MIA,QB,12,5 out of 5 stars,28
129,9,Matthew Golden,GB,WR,5,2 out of 5 stars,-33
130,9,Keon Coleman,BUF,WR,7,3 out of 5 stars,-14
131,9,Rashid Shaheed,NO,WR,11,4 out of 5 stars,10
132,9,Austin Ekeler,WAS,RB,12,2 out of 5 stars,-4
133,9,Jonnu Smith,PIT,TE,5,3 out of 5 stars,-34
134,9,Tank Bigsby,JAC,RB,8,2 out of 5 stars,2
135,9,Bryce Young,CAR,QB,14,3 out of 5 stars,67
136,9,J.K. Dobbins,DEN,RB,12,2 out of 5 stars,-14
137,9,Colston Loveland,CHI,TE,5,4 out of 5 stars,-27
138,9,Luther Burden III,CHI,WR,5,2 out of 5 stars,12
139,9,Hunter Henry,NE,TE,14,3 out of 5 stars,54
140,9,Ray Davis,BUF,RB,7,4 out of 5 stars,15
141,9,Cedric Tillman,CLE,WR,9,2 out of 5 stars,35
142,9,Michael Penix Jr.,ATL,QB,5,4 out of 5 stars,20
143,9,Rashod Bateman,BAL,WR,7,3 out of 5 stars,18
144,9,Marquise Brown,KC,WR,10,3 out of 5 stars,-2
145,9,Trey Benson,ARI,RB,8,3 out of 5 stars,4
146,10,Isaac Guerendo,SF,RB,14,3 out of 5 stars,-14
147,10,Marvin Mims Jr.,DEN,WR,12,3 out of 5 stars,0
148,10,Geno Smith,LV,QB,8,3 out of 5 stars,63
149,10,Rico Dowdle,CAR,RB,14,3 out of 5 stars,22
150,10,Tyler Allgeier,ATL,RB,5,4 out of 5 stars,4
151,10,Tre' Harris,LAC,WR,12,3 out of 5 stars,-14
152,10,Adam Thielen,CAR,WR,14,4 out of 5 stars,12
153,10,Jerome Ford,CLE,RB,9,4 out of 5 stars,6
154,10,Romeo Doubs,GB,WR,5,2 out of 5 stars,27
155,10,Zach Ertz,WAS,TE,12,3 out of 5 stars,-4
156,10,Jayden Higgins,HOU,WR,6,4 out of 5 stars,-18
157,10,Bhayshul Tuten,JAC,RB,8,2 out of 5 stars,-28
158,10,Jaylen Wright,MIA,RB,12,4 out of 5 stars,14
159,10,Kyle Pitts,ATL,TE,5,3 out of 5 stars,-20
160,10,Wan'Dale Robinson,NYG,WR,14,2 out of 5 stars,19
161,10,Braelon Allen,NYJ,RB,9,5 out of 5 stars,8
162,10,Quentin Johnston,LAC,WR,12,3 out of 5 stars,25
163,10,Jalen McMillan,TB,WR,9,3 out of 5 stars,14
164,10,Denver Broncos,DEN,DST,12,4 out of 5 stars,6
165,10,Kyle Williams,NE,WR,14,3 out of 5 stars,3
166,10,Sam Darnold,SEA,QB,8,4 out of 5 stars,44
167,10,Roschon Johnson,CHI,RB,5,3 out of 5 stars,7
168,10,Jaydon Blue,DAL,RB,10,2 out of 5 stars,-43
169,10,DeMario Douglas,NE,WR,14,3 out of 5 stars,86
170,10,Xavier Legette,CAR,WR,14,4 out of 5 stars,-5
171,10,Philadelphia Eagles,PHI,DST,9,2 out of 5 stars,9
172,10,DeAndre Hopkins,BAL,WR,7,3 out of 5 stars,28
173,10,Baltimore Ravens,BAL,DST,7,3 out of 5 stars,11
174,10,Cameron Ward,TEN,QB,10,2 out of 5 stars,24
175,10,Mike Gesicki,CIN,TE,10,2 out of 5 stars,37
176,10,Dylan Sampson,CLE,RB,9,4 out of 5 stars,2
177,10,Pat Freiermuth,PIT,TE,5,3 out of 5 stars,-17
178,10,Joshua Palmer,BUF,WR,7,3 out of 5 stars,23
179,10,Pittsburgh Steelers,PIT,DST,5,3 out of 5 stars,6
180,10,Nick Chubb,HOU,RB,6,2 out of 5 stars,-28
181,10,MarShawn Lloyd,GB,RB,5,4 out of 5 stars,8
182,10,Minnesota Vikings,MIN,DST,6,2 out of 5 stars,39
183,10,Isaiah Likely,BAL,TE,7,3 out of 5 stars,-35
184,10,Brenton Strange,JAC,TE,8,3 out of 5 stars,-11
185,10,Blake Corum,LAR,RB,8,3 out of 5 stars,32
186,11,Jalen Coker,CAR,WR,14,4 out of 5 stars,74
187,11,Aaron Rodgers,PIT,QB,5,4 out of 5 stars,22
188,11,Houston Texans,HOU,DST,6,2 out of 5 stars,2
189,11,Jack Bech,LV,WR,8,4 out of 5 stars,-44
190,11,Kansas City Chiefs,KC,DST,10,1 out of 5 stars,9
191,11,Buffalo Bills,BUF,DST,7,5 out of 5 stars,-3
192,11,Brandon Aubrey,DAL,K,10,4 out of 5 stars,-85
193,11,Jake Bates,DET,K,8,1 out of 5 stars,-66
194,11,Detroit Lions,DET,DST,8,1 out of 5 stars,2
195,11,Cade Otton,TB,TE,9,3 out of 5 stars,8
196,11,Michael Wilson,ARI,WR,8,4 out of 5 stars,112
197,11,Alec Pierce,IND,WR,11,4 out of 5 stars,55
198,11,Cameron Dicker,LAC,K,12,5 out of 5 stars,-78
199,11,Chig Okonkwo,TEN,TE,10,3 out of 5 stars,14
200,11,Wil Lutz,DEN,K,12,5 out of 5 stars,-25
201,11,Los Angeles Chargers,LAC,DST,12,5 out of 5 stars,41
202,11,Los Angeles Rams,LAR,DST,8,3 out of 5 stars,41
203,11,Justice Hill,BAL,RB,7,4 out of 5 stars,-20
204,11,Kareem Hunt,KC,RB,10,2 out of 5 stars,-37
205,11,Chris Boswell,PIT,K,5,1 out of 5 stars,-59
206,11,Chase McLaughlin,TB,K,9,3 out of 5 stars,-63
207,11,Seattle Seahawks,SEA,DST,8,3 out of 5 stars,29
208,11,Ka'imi Fairbairn,HOU,K,6,3 out of 5 stars,-64
209,11,Green Bay Packers,GB,DST,5,2 out of 5 stars,31
210,11,Mason Taylor,NYJ,TE,9,3 out of 5 stars,5
211,11,Adonai Mitchell,IND,WR,11,4 out of 5 stars,57
212,11,Evan McPherson,CIN,K,10,1 out of 5 stars,-30
213,11,Dontayvion Wicks,GB,WR,5,2 out of 5 stars,68
214,11,Harrison Butker,KC,K,10,3 out of 5 stars,-56
215,11,Jaylin Noel,HOU,WR,6,4 out of 5 stars,61
216,11,New York Jets,NYJ,DST,9,5 out of 5 stars,29
217,11,Tyler Bass,BUF,K,7,2 out of 5 stars,-25
218,11,Darius Slayton,NYG,WR,14,2 out of 5 stars,45
219,11,Andrei Iosivas,CIN,WR,10,3 out of 5 stars,82
220,11,Dalton Schultz,HOU,TE,6,3 out of 5 stars,-2
221,11,Jaleel McLaughlin,DEN,RB,12,2 out of 5 stars,28
222,11,Jake Elliott,PHI,K,9,2 out of 5 stars,-27
223,11,DJ Giddens,IND,RB,11,2 out of 5 stars,36
224,11,Anthony Richardson Sr.,IND,QB,11,3 out of 5 stars,-38
225,11,Devaughn Vele,DEN,WR,12,3 out of 5 stars,223
226,12,Calvin Austin III,PIT,WR,5,4 out of 5 stars,3
227,12,Kendre Miller,NO,RB,11,4 out of 5 stars,46
228,12,Elijah Arroyo,SEA,TE,8,4 out of 5 stars,-3
229,12,Devin Neal,NO,RB,11,4 out of 5 stars,43
230,12,Keenan Allen,FA,WR,-,-,-22
231,12,San Francisco 49ers,SF,DST,14,5 out of 5 stars,-4
232,12,Elic Ayomanor,TEN,WR,10,4 out of 5 stars,71
233,12,Russell Wilson,NYG,QB,14,1 out of 5 stars,-7
234,12,Jason Sanders,MIA,K,12,2 out of 5 stars,-71
235,12,Tyler Lockett,TEN,WR,10,4 out of 5 stars,15
236,12,Miles Sanders,DAL,RB,10,2 out of 5 stars,-12
237,12,Kyle Monangai,CHI,RB,5,3 out of 5 stars,19
238,12,Ja'Tavion Sanders,CAR,TE,14,4 out of 5 stars,48
239,12,Will Shipley,PHI,RB,9,3 out of 5 stars,-45
240,12,Diontae Johnson,CLE,WR,9,2 out of 5 stars,29
241,12,Pat Bryant,DEN,WR,12,3 out of 5 stars,30
242,12,Younghoe Koo,ATL,K,5,4 out of 5 stars,-28
243,12,Elijah Moore,BUF,WR,7,3 out of 5 stars,77
244,12,Juwan Johnson,NO,TE,11,3 out of 5 stars,22
245,12,Jalen Tolbert,DAL,WR,10,2 out of 5 stars,143
246,12,Cole Kmet,CHI,TE,5,4 out of 5 stars,11
247,12,Audric Estime,DEN,RB,12,2 out of 5 stars,43
248,12,Raheem Mostert,LV,RB,8,2 out of 5 stars,-57
249,12,Brandin Cooks,NO,WR,11,4 out of 5 stars,141
250,12,Dallas Cowboys,DAL,DST,10,0 out of 5 stars,-53
251,12,Daniel Jones,IND,QB,11,3 out of 5 stars,62
252,12,Keaton Mitchell,BAL,RB,7,4 out of 5 stars,23
253,12,Elijah Mitchell,KC,RB,10,2 out of 5 stars,-34
254,12,Dyami Brown,JAC,WR,8,4 out of 5 stars,20
255,12,Jalen Royals,KC,WR,10,3 out of 5 stars,43
256,12,Nick Westbrook-Ikhine,MIA,WR,12,3 out of 5 stars,186
257,12,Roman Wilson,PIT,WR,5,4 out of 5 stars,27
258,12,Tampa Bay Buccaneers,TB,DST,9,3 out of 5 stars,-20
259,12,Matt Gay,WAS,K,12,3 out of 5 stars,-52
260,12,Brashard Smith,KC,RB,10,2 out of 5 stars,-40
261,12,Joshua Karty,LAR,K,8,2 out of 5 stars,-14
262,12,Antonio Gibson,NE,RB,14,4 out of 5 stars,57
263,12,Trevor Etienne,CAR,RB,14,3 out of 5 stars,-12
264,12,Kayshon Boutte,NE,WR,14,3 out of 5 stars,72
265,12,Malik Washington,MIA,WR,12,3 out of 5 stars,272
266,12,Jarquez Hunter,LAR,RB,8,3 out of 5 stars,-35
267,12,Devin Singletary,NYG,RB,14,3 out of 5 stars,110
268,12,Ollie Gordon II,MIA,RB,12,4 out of 5 stars,-3
269,12,Amari Cooper,FA,WR,-,-,-11
270,12,Kenneth Gainwell,PIT,RB,5,4 out of 5 stars,117
271,12,Tahj Brooks,CIN,RB,10,4 out of 5 stars,9
272,12,Noah Gray,KC,TE,10,3 out of 5 stars,-11
273,12,Cleveland Browns,CLE,DST,9,3 out of 5 stars,-34
274,12,Harold Fannin Jr.,CLE,TE,9,3 out of 5 stars,18
275,12,Tyler Shough,NO,QB,11,5 out of 5 stars,4
276,12,Tim Patrick,DET,WR,8,3 out of 5 stars,51
277,12,Tre Tucker,LV,WR,8,4 out of 5 stars,116
278,12,Woody Marks,HOU,RB,6,2 out of 5 stars,19
279,13,Parker Washington,JAC,WR,8,4 out of 5 stars,334
280,13,Ty Johnson,BUF,RB,7,4 out of 5 stars,138
281,13,Zack Moss,CIN,RB,10,4 out of 5 stars,-77
282,13,Sean Tucker,TB,RB,9,3 out of 5 stars,25
283,13,Xavier Restrepo,TEN,WR,10,4 out of 5 stars,50
284,13,Joe Flacco,CLE,QB,9,2 out of 5 stars,25
285,13,Jordan James,SF,RB,14,3 out of 5 stars,36
286,13,Khalil Herbert,IND,RB,11,2 out of 5 stars,302
287,13,Isaiah Davis,NYJ,RB,9,5 out of 5 stars,421
288,13,Taysom Hill,NO,TE,11,3 out of 5 stars,-40
289,13,Jalen Nailor,MIN,WR,6,2 out of 5 stars,131
290,13,Noah Fant,FA,TE,-,-,79
291,13,Alexander Mattison,MIA,RB,12,4 out of 5 stars,120
292,13,Chicago Bears,CHI,DST,5,2 out of 5 stars,-62
293,13,Luke McCaffrey,WAS,WR,12,3 out of 5 stars,32
294,13,Theo Johnson,NYG,TE,14,2 out of 5 stars,-17
295,13,Jaxson Dart,NYG,QB,14,1 out of 5 stars,-42
296,13,Dameon Pierce,HOU,RB,6,2 out of 5 stars,86
297,13,Darren Waller,MIA,TE,12,3 out of 5 stars,-91
298,13,Kimani Vidal,LAC,RB,12,2 out of 5 stars,295
299,13,Daniel Carlson,LV,K,8,3 out of 5 stars,-83
300,13,Tory Horton,SEA,WR,8,3 out of 5 stars,45
301,13,Sincere McCormick,LV,RB,8,2 out of 5 stars,303
302,13,Damien Martinez,SEA,RB,8,3 out of 5 stars,208
303,13,Terrance Ferguson,LAR,TE,8,4 out of 5 stars,-39
304,13,Christian Watson,GB,WR,5,2 out of 5 stars,22
305,13,Jermaine Burton,CIN,WR,10,3 out of 5 stars,320
306,13,Isaac TeSlaa,DET,WR,8,3 out of 5 stars,-73
307,13,Gabe Davis,FA,WR,-,-,-
308,13,Tez Johnson,TB,WR,9,3 out of 5 stars,67
309,13,Oronde Gadsden II,LAC,TE,12,3 out of 5 stars,28
310,13,Ty Chandler,MIN,RB,6,3 out of 5 stars,103
311,13,Dont'e Thornton Jr.,LV,WR,8,4 out of 5 stars,-83
312,13,New England Patriots,NE,DST,14,4 out of 5 stars,-75
313,13,Chris Brooks,GB,RB,5,4 out of 5 stars,309
314,13,Emanuel Wilson,GB,RB,5,4 out of 5 stars,133
315,13,Phil Mafah,DAL,RB,10,2 out of 5 stars,180
316,13,Shedeur Sanders,CLE,QB,9,2 out of 5 stars,-70
317,13,Will Dissly,LAC,TE,12,3 out of 5 stars,38
318,13,Ben Sinnott,WAS,TE,12,3 out of 5 stars,31
319,13,Jason Myers,SEA,K,8,5 out of 5 stars,-34
320,13,Tyler Loop,BAL,K,7,2 out of 5 stars,-115
321,13,Will Reichard,MIN,K,6,0 out of 5 stars,-99
322,13,Tyler Higbee,LAR,TE,8,4 out of 5 stars,-60
323,13,Jacory Croskey-Merritt,WAS,RB,12,2 out of 5 stars,-69
324,13,Miami Dolphins,MIA,DST,12,2 out of 5 stars,-37
325,13,Tutu Atwell,LAR,WR,8,3 out of 5 stars,-11
326,13,Chris Rodriguez Jr.,WAS,RB,12,2 out of 5 stars,270
327,13,Tyler Conklin,LAC,TE,12,3 out of 5 stars,-60
328,13,Raheim Sanders,LAC,RB,12,2 out of 5 stars,78
329,13,Jordan Whittington,LAR,WR,8,3 out of 5 stars,23
330,13,Ray-Ray McCloud III,ATL,WR,5,3 out of 5 stars,-6
331,14,Tai Felton,MIN,WR,6,2 out of 5 stars,94
332,14,Zamir White,LV,RB,8,2 out of 5 stars,40
333,14,John Metchie III,HOU,WR,6,4 out of 5 stars,348
334,14,Arizona Cardinals,ARI,DST,8,4 out of 5 stars,-102
335,14,Jalen Milroe,SEA,QB,8,4 out of 5 stars,-65
336,14,Justin Tucker,FA,K,-,-,-58
337,14,Gus Edwards,FA,RB,-,-,265
338,14,Marquez Valdes-Scantling,SEA,WR,8,3 out of 5 stars,-20
339,14,Demarcus Robinson,SF,WR,14,4 out of 5 stars,105
340,14,Troy Franklin,DEN,WR,12,3 out of 5 stars,-34
341,14,Samaje Perine,CIN,RB,10,4 out of 5 stars,91
342,14,Cam Akers,NO,RB,11,4 out of 5 stars,323
343,14,Josh Reynolds,NYJ,WR,9,4 out of 5 stars,305
344,14,New York Giants,NYG,DST,14,1 out of 5 stars,-110
345,14,Kirk Cousins,ATL,QB,5,4 out of 5 stars,-15
346,14,Noah Brown,WAS,WR,12,3 out of 5 stars,125
347,14,Savion Williams,GB,WR,5,2 out of 5 stars,-5
348,14,A.J. Dillon,PHI,RB,9,3 out of 5 stars,-38
349,14,Jake Moody,SF,K,14,5 out of 5 stars,-126
350,14,Dawson Knox,BUF,TE,7,3 out of 5 stars,-48
351,14,Michael Mayer,LV,TE,8,2 out of 5 stars,-35
352,14,Tank Dell,HOU,WR,6,4 out of 5 stars,-56
353,14,Chimere Dike,TEN,WR,10,4 out of 5 stars,475
354,14,Luke Musgrave,GB,TE,5,2 out of 5 stars,-20
355,14,Brandon McManus,GB,K,5,3 out of 5 stars,-111
356,14,Isaiah Bond,FA,WR,-,-,-
357,14,KaVontae Turpin,DAL,WR,10,2 out of 5 stars,-58
358,14,Donovan Edwards,NYJ,RB,9,5 out of 5 stars,129
359,14,Mack Hollins,NE,WR,14,3 out of 5 stars,26
360,14,Allen Lazard,NYJ,WR,9,4 out of 5 stars,74
361,14,Curtis Samuel,BUF,WR,7,3 out of 5 stars,69
362,14,Jameis Winston,NYG,QB,14,1 out of 5 stars,8
363,14,Spencer Rattler,NO,QB,11,5 out of 5 stars,131
364,14,Washington Commanders,WAS,DST,12,4 out of 5 stars,-123
365,14,Cam Little,JAC,K,8,5 out of 5 stars,-74
366,14,Atlanta Falcons,ATL,DST,5,3 out of 5 stars,-78
367,14,Eddy Pineiro,FA,K,-,-,117
368,14,Austin Hooper,NE,TE,14,3 out of 5 stars,-9
369,14,Kenny Pickett,CLE,QB,9,2 out of 5 stars,318
370,14,Greg Dortch,ARI,WR,8,4 out of 5 stars,103
371,14,Gunnar Helm,TEN,TE,10,3 out of 5 stars,267
372,14,AJ Barner,SEA,TE,8,4 out of 5 stars,-43
373,14,Trey Sermon,PIT,RB,5,4 out of 5 stars,125
374,14,LeQuint Allen Jr.,JAC,RB,8,2 out of 5 stars,148
375,14,Jaylin Lane,WAS,WR,12,3 out of 5 stars,175
376,14,Robert Woods,PIT,WR,5,4 out of 5 stars,0
377,14,Luke Schoonmaker,DAL,TE,10,2 out of 5 stars,-21
378,14,Dillon Gabriel,CLE,QB,9,2 out of 5 stars,124
379,14,Jahan Dotson,PHI,WR,9,3 out of 5 stars,-64
380,14,Antwane Wells Jr.,NYG,WR,14,2 out of 5 stars,-
381,14,Matt Prater,FA,K,-,-,-
382,15,Van Jefferson,TEN,WR,10,4 out of 5 stars,95
383,15,Foster Moreau,NO,TE,11,3 out of 5 stars,184
384,15,Kalel Mullings,TEN,RB,10,2 out of 5 stars,445
385,15,Tommy Tremble,CAR,TE,14,4 out of 5 stars,58
386,15,Ameer Abdullah,FA,RB,-,-,-
387,15,Theo Wease Jr.,MIA,WR,12,3 out of 5 stars,-
388,15,Emari Demercado,ARI,RB,8,3 out of 5 stars,409
389,15,Chad Ryland,ARI,K,8,3 out of 5 stars,-72
390,15,Mason Rudolph,PIT,QB,5,4 out of 5 stars,175
391,15,Blake Grupe,NO,K,11,5 out of 5 stars,-86
392,15,Cairo Santos,CHI,K,5,1 out of 5 stars,-109
393,15,Indianapolis Colts,IND,DST,11,4 out of 5 stars,-111
394,15,Cincinnati Bengals,CIN,DST,10,2 out of 5 stars,-159
395,15,Jacob Cowing,SF,WR,14,4 out of 5 stars,102
396,15,Arian Smith,NYJ,WR,9,4 out of 5 stars,151
397,15,Jonathon Brooks,CAR,RB,14,3 out of 5 stars,85
398,15,Kendrick Bourne,NE,WR,14,3 out of 5 stars,48
399,15,Ja'Lynn Polk,NE,WR,14,3 out of 5 stars,228
400,15,Jalin Hyatt,NYG,WR,14,2 out of 5 stars,-47
401,15,Cade Stover,HOU,TE,6,3 out of 5 stars,403
402,15,Ja'Quinden Jackson,JAC,RB,8,2 out of 5 stars,-
403,15,Olamide Zaccheaus,CHI,WR,5,2 out of 5 stars,123
