rank,position,name,team,Underdog,10-Team,12-Team
1,WR,Ja'Marr Chase,CIN,1,1.01,1.01
2,RB,Bijan Robinson,ATL,2,1.02,1.02
3,WR,Justin Jefferson,MIN,3,1.03,1.03
4,RB,Saquon Barkley,PHI,4,1.04,1.04
5,WR,CeeDee Lamb,DAL,5,1.05,1.05
6,RB,Jahmyr Gibbs,DET,6,1.06,1.06
7,RB,Christian McCaffrey,SF,7,1.07,1.07
8,WR,Puka Nacua,LAR,8,1.08,1.08
9,WR,Malik Nabers,NYG,9,1.09,1.09
10,WR,Nico Collins,HOU,10,1.1,1.1
11,WR,Amon-Ra St. Brown,DET,11,2.01,1.11
12,RB,Ashton Jeanty,LV,12,2.02,1.12
13,WR,Brian Thomas Jr.,JAX,13,2.03,2.01
14,RB,De'Von Achane,MIA,14,2.04,2.02
15,RB,Derrick Henry,BAL,15,2.05,2.03
16,WR,Drake London,ATL,16,2.06,2.04
17,WR,A.J. Brown,PHI,17,2.07,2.05
18,WR,Ladd McConkey,LAC,18,2.08,2.06
19,TE,Brock Bowers,LV,19,2.09,2.07
20,RB,Jonathan Taylor,IND,20,2.1,2.08
21,WR,Tyreek Hill,MIA,21,3.01,2.09
22,RB,Bucky Irving,TB,22,3.02,2.1
23,WR,Tee Higgins,CIN,23,3.03,2.11
24,RB,Josh Jacobs,GB,24,3.04,2.12
25,RB,Chase Brown,CIN,25,3.05,3.01
26,TE,Trey McBride,ARI,26,3.06,3.02
27,WR,Marvin Harrison Jr.,ARI,27,3.07,3.03
28,WR,Garrett Wilson,NYJ,28,3.08,3.04
29,WR,Davante Adams,LAR,29,3.09,3.05
30,QB,Josh Allen,BUF,30,3.1,3.06
31,QB,Lamar Jackson,BAL,31,4.01,3.07
32,WR,Jaxon Smith-Njigba,SEA,32,4.02,3.08
33,RB,Breece Hall,NYJ,33,4.03,3.09
34,RB,Kyren Williams,LAR,34,4.04,3.1
35,RB,Omarion Hampton,LAC,35,4.05,3.11
36,WR,Terry McLaurin,WAS,36,4.06,3.12
37,WR,Rashee Rice,KC,37,4.07,4.01
38,WR,Mike Evans,TB,38,4.08,4.02
39,TE,George Kittle,SF,39,4.09,4.03
40,QB,Jayden Daniels,WAS,40,4.1,4.04
41,WR,Xavier Worthy,KC,41,5.01,4.05
42,WR,Tetairoa McMillan,CAR,42,5.02,4.06
43,WR,D.J. Moore,CHI,43,5.03,4.07
44,RB,James Cook,BUF,44,5.04,4.08
45,QB,Jalen Hurts,PHI,45,5.05,4.09
46,WR,DK Metcalf,PIT,46,5.06,4.1
