RK,TIERS,PLAYER NAME,TEAM,POS
1,1,Ja'Marr Chase,CIN,WR1
2,1,Jahmyr Gibbs,DET,RB1
3,1,Puka Nacua,LAR,WR2
4,1,Bijan Robinson,ATL,RB2
5,1,Jaxon Smith-Njigba,SEA,WR3
6,1,Amon-Ra St. Brown,DET,WR4
7,2,CeeDee Lamb,DAL,WR5
8,2,Justin Jefferson,MIN,WR6
9,2,Christian McCaffrey,SF,RB3
10,2,Drake London,ATL,WR7
11,2,Jonathan Taylor,IND,RB4
12,2,A.J. Brown,NE,WR8
13,3,Nico Collins,HOU,WR9
14,3,Ashton Jeanty,LV,RB5
15,3,James Cook III,BUF,RB6
16,3,Chase Brown,CIN,RB7
17,3,Brock Bowers,LV,TE1
18,3,Chris Olave,NO,WR10
19,3,George Pickens,DAL,WR11
20,3,Trey McBride,ARI,TE2
21,3,De'Von Achane,MIA,RB8
22,3,Rashee Rice,KC,WR12
23,3,DeVonta Smith,PHI,WR13
24,4,Omarion Hampton,LAC,RB9
25,4,Josh Allen,BUF,QB1
26,4,Saquon Barkley,PHI,RB10
,4,,,
27,4,Malik Nabers,NYG,WR14
28,4,Kenneth Walker III,KC,RB11
29,4,Garrett Wilson,NYJ,WR15
30,4,Zay Flowers,BAL,WR16
31,4,Lamar Jackson,BAL,QB2
32,4,Tetairoa McMillan,CAR,WR17
33,4,Tee Higgins,CIN,WR18
34,4,Ladd McConkey,LAC,WR19
35,4,Jaylen Waddle,DEN,WR20
36,4,Colston Loveland,CHI,TE3
37,4,Derrick Henry,BAL,RB12
38,4,Drake Maye,NE,QB3
39,5,Emeka Egbuka,TB,WR21
40,5,Breece Hall,NYJ,RB13
41,5,Jeremiyah Love,ARI,RB14
42,5,Kyren Williams,LAR,RB15
43,5,Joe Burrow,CIN,QB4
44,5,Josh Jacobs,GB,RB16
45,5,Javonte Williams,DAL,RB17
46,5,Terry McLaurin,WAS,WR22
47,5,Luther Burden III,CHI,WR23
48,5,Travis Etienne Jr.,NO,RB18
49,5,Davante Adams,LAR,WR24
50,5,Jayden Daniels,WAS,QB5
51,5,DJ Moore,BUF,WR25
52,5,Mike Evans,SF,WR26
53,5,Tyler Warren,IND,TE4
54,5,Jameson Williams,DET,WR27
55,5,Cam Skattebo,NYG,RB19
56,6,Jalen Hurts,PHI,QB6
57,6,Bucky Irving,TB,RB20
58,6,Christian Watson,GB,WR28
59,6,D'Andre Swift,CHI,RB21
60,6,Rome Odunze,CHI,WR29
61,6,Quinshon Judkins,CLE,RB22
62,6,David Montgomery,HOU,RB23
63,6,TreVeyon Henderson,NE,RB24
64,6,Caleb Williams,CHI,QB7
65,6,Carnell Tate,TEN,WR30
66,6,Marvin Harrison Jr.,ARI,WR31
67,6,Bhayshul Tuten,JAC,RB25
68,6,Parker Washington,JAC,WR32
69,6,Justin Herbert,LAC,QB8
70,6,Harold Fannin Jr.,CLE,TE5
71,6,Jadarian Price,SEA,RB26
72,6,Brian Thomas Jr.,JAC,WR33
