RK,TIERS,PLAYER NAME,TEAM,POS
1,1,Ja'Marr Chase,CIN,WR1
2,1,Jahmyr Gibbs,DET,RB1
3,1,Bijan Robinson,ATL,RB2
4,1,Puka Nacua,LAR,WR2
5,1,Jaxon Smith-Njigba,SEA,WR3
6,2,Amon-Ra St. Brown,DET,WR4
7,2,Christian McCaffrey,SF,RB3
8,2,CeeDee Lamb,DAL,WR5
9,2,Justin Jefferson,MIN,WR6
10,2,Jonathan Taylor,IND,RB4
11,2,Drake London,ATL,WR7
12,3,A.J. Brown,NE,WR8
13,3,Nico Collins,HOU,WR9
14,3,Ashton Jeanty,LV,RB5
15,3,Brock Bowers,LV,TE1
16,3,James Cook III,BUF,RB6
17,3,George Pickens,DAL,WR10
18,3,Chase Brown,CIN,RB7
19,3,De'Von Achane,MIA,RB8
20,4,Omarion Hampton,LAC,RB9
21,4,Rashee Rice,KC,WR11
22,4,DeVonta Smith,PHI,WR12
23,4,Chris Olave,NO,WR13
24,4,Trey McBride,ARI,TE2
25,4,Malik Nabers,NYG,WR14
26,4,Saquon Barkley,PHI,RB10
,4,,,
27,4,Kenneth Walker III,KC,RB11
28,4,Josh Allen,BUF,QB1
29,4,Garrett Wilson,NYJ,WR15
30,4,Tetairoa McMillan,CAR,WR16
31,4,Colston Loveland,CHI,TE3
32,5,Zay Flowers,BAL,WR17
33,5,Lamar Jackson,BAL,QB2
34,5,Jaylen Waddle,DEN,WR18
35,5,Ladd McConkey,LAC,WR19
36,5,Derrick Henry,BAL,RB12
37,5,Tee Higgins,CIN,WR20
38,5,Breece Hall,NYJ,RB13
39,5,Kyren Williams,LAR,RB14
40,5,Jeremiyah Love,ARI,RB15
41,5,Drake Maye,NE,QB3
42,5,Luther Burden III,CHI,WR21
43,5,Emeka Egbuka,TB,WR22
44,6,Terry McLaurin,WAS,WR23
45,6,Javonte Williams,DAL,RB16
46,6,Josh Jacobs,GB,RB17
47,6,Jayden Daniels,WAS,QB4
48,6,Travis Etienne Jr.,NO,RB18
49,6,Mike Evans,SF,WR24
50,6,Davante Adams,LAR,WR25
51,6,DJ Moore,BUF,WR26
52,6,Joe Burrow,CIN,QB5
53,6,Tyler Warren,IND,TE4
54,6,Cam Skattebo,NYG,RB19
55,6,Jameson Williams,DET,WR27
56,6,Rome Odunze,CHI,WR28
57,6,Quinshon Judkins,CLE,RB20
58,6,Bucky Irving,TB,RB21
59,6,Christian Watson,GB,WR29
60,6,D'Andre Swift,CHI,RB22
61,6,Carnell Tate,TEN,WR30
62,6,David Montgomery,HOU,RB23
63,6,Caleb Williams,CHI,QB6
64,7,Marvin Harrison Jr.,ARI,WR31
65,7,Jalen Hurts,PHI,QB7
66,7,Bhayshul Tuten,JAC,RB24
67,7,TreVeyon Henderson,NE,RB25
68,7,Tucker Kraft,GB,TE5
69,7,Parker Washington,JAC,WR32
70,7,Chris Godwin Jr.,TB,WR33
71,7,Justin Herbert,LAC,QB8
72,7,Rhamondre Stevenson,NE,RB26
