Ranking,Name,Position,Pos Rank,Tier,Auction (Out of $200),Team,Position_right
1,Ja'Marr Chase,WR,1,1,$63 ,CIN,WR
2,Bijan Robinson,RB,1,1,$62 ,ATL,RB
3,Saquon Barkley,RB,2,1,$61 ,PHI,RB
4,Jahmyr Gibbs,RB,3,1,$57 ,DET,RB
5,Justin Jefferson,WR,2,1,$60 ,MIN,WR
6,CeeDee Lamb,WR,3,1,$58 ,DAL,WR
7,Puka Nacua,WR,4,2,$51 ,LAR,WR
8,Christian McCaffrey,RB,4,2,$44 ,SF,RB
9,De'Von Achane,RB,5,2,$42 ,MIA,RB
10,Nico Collins,WR,5,3,$43 ,HOU,WR
11,Amon-Ra St. Brown,WR,6,3,$42 ,DET,WR
12,Ashton Jeanty,RB,6,3,$37 ,LV,RB
13,Malik Nabers,WR,7,3,$40 ,NYG,WR
14,Brian Thomas,WR,8,3,$39 ,,
15,AJ Brown,WR,9,3,$38 ,,
16,Derrick Henry,RB,7,3,$33 ,BAL,RB
17,Drake London,WR,10,4,$36 ,ATL,WR
18,Brock Bowers,TE,1,4,$33 ,LV,TE
19,Ladd McConkey,WR,11,4,$34 ,LAC,WR
20,Bucky Irving,RB,8,5,$30 ,TB,RB
21,Jonathan Taylor,RB,9,5,$29 ,IND,RB
22,Chase Brown,RB,10,6,$28 ,CIN,RB
23,Josh Jacobs,RB,11,6,$28 ,GB,RB
24,Trey McBride,TE,2,6,$29 ,ARI,TE
25,Tyreek Hill,WR,12,6,$29 ,MIA,WR
26,Josh Allen,QB,1,7,$26 ,BUF,QB
27,Davante Adams,WR,13,7,$27 ,LAR,WR
28,Tee Higgins,WR,14,7,$27 ,CIN,WR
29,Jaxon Smith-Njigba,WR,15,7,$26 ,SEA,WR
30,Breece Hall,RB,12,7,$24 ,NYJ,RB
31,Omarion Hampton,RB,13,7,$23 ,LAC,RB
32,Garrett Wilson,WR,16,7,$25 ,NYJ,WR
33,Kyren Williams,RB,14,8,$23 ,LAR,RB
34,Lamar Jackson,QB,2,8,$22 ,BAL,QB
35,Kenneth Walker,RB,15,8,$22 ,,
36,Jayden Daniels,QB,3,9,$22 ,WAS,QB
37,Jalen Hurts,QB,4,9,$21 ,PHI,QB
38,James Cook,RB,16,9,$21 ,BUF,RB
39,George Kittle,TE,3,9,$22 ,SF,TE
40,Marvin Harrison,WR,17,9,$21 ,,
41,Alvin Kamara,RB,17,9,$20 ,NO,RB
42,Mike Evans,WR,18,9,$21 ,TB,WR
43,Xavier Worthy,WR,19,9,$20 ,KC,WR
44,Terry McLaurin,WR,20,10,$20 ,WAS,WR
45,Devonta Smith,WR,21,10,$20 ,,
46,James Conner,RB,18,10,$18 ,ARI,RB
47,DK Metcalf,WR,22,10,$19 ,PIT,WR
48,Tetairoa McMillan,WR,23,10,$19 ,CAR,WR
49,DJ Moore,WR,24,11,$18 ,CHI,WR
50,Jameson Williams,WR,25,11,$18 ,DET,WR
51,Courtland Sutton,WR,26,11,$18 ,DEN,WR
52,Chuba Hubbard,RB,19,11,$17 ,CAR,RB
53,TreVeyon Henderson,RB,20,11,$17 ,NE,RB
54,George Pickens,WR,27,11,$17 ,DAL,WR
55,Jaylen Waddle,WR,28,11,$17 ,MIA,WR
56,Calvin Ridley,WR,29,11,$17 ,TEN,WR
57,RJ Harvey,RB,21,11,$16 ,DEN,RB
58,Travis Hunter,WR,30,12,$16 ,JAC,WR
59,Joe Burrow,QB,5,12,$16 ,CIN,QB
60,Joe Mixon,RB,22,12,$15 ,HOU,RB
61,Rashee Rice,WR,31,12,$15 ,KC,WR
62,David Montgomery,RB,23,12,$15 ,DET,RB
63,Zay Flowers,WR,32,12,$15 ,BAL,WR
64,D'Andre Swift,RB,24,12,$14 ,CHI,RB
65,Chris Olave,WR,33,12,$14 ,NO,WR
66,Jauan Jennings,WR,34,12,$14 ,SF,WR
67,Aaron Jones,RB,25,12,$14 ,,
68,Rome Odunze,WR,35,12,$14 ,CHI,WR
69,Isiah Pacheco,RB,26,13,$13 ,KC,RB
70,Jakobi Meyers,WR,36,13,$13 ,LV,WR
71,Khalil Shakir,WR,37,13,$13 ,BUF,WR
72,Stefon Diggs,WR,38,14,$13 ,NE,WR
73,Tony Pollard,RB,27,14,$13 ,TEN,RB
74,Chris Godwin,WR,39,14,$13 ,TB,WR
75,Jerry Jeudy,WR,40,14,$12 ,CLE,WR
76,Ricky Pearsall,WR,41,14,$12 ,SF,WR
77,Jayden Reed,WR,42,14,$12 ,GB,WR
78,Deebo Samuel,WR,43,14,$12 ,,
79,Sam LaPorta,TE,4,14,$14 ,DET,TE
80,Kaleb Johnson,RB,28,14,$12 ,PIT,RB
81,Jordan Addison,WR,44,14,$11 ,MIN,WR
82,Jaylen Warren,RB,29,14,$11 ,PIT,RB
83,Matthew Golden,WR,45,15,$11 ,GB,WR
84,Patrick Mahomes,QB,6,16,$11 ,,
85,Bo Nix,QB,7,16,$11 ,DEN,QB
86,TJ Hockenson,TE,5,16,$14 ,,
87,Justin Fields,QB,8,16,$11 ,NYJ,QB
88,Kyler Murray,QB,9,16,$11 ,ARI,QB
89,Caleb Williams,QB,10,16,$11 ,CHI,QB
90,Emeka Egbuka,WR,46,16,$10 ,TB,WR
91,Darnell Mooney,WR,47,16,$10 ,ATL,WR
92,Josh Downs,WR,48,16,$9 ,IND,WR
93,Cooper Kupp,WR,49,17,$9 ,SEA,WR
94,Tyrone Tracy,RB,30,17,$10 ,,
95,Michael Pittman,WR,50,17,$9 ,,
96,Baker Mayfield,QB,11,18,$10 ,TB,QB
97,Brian Robinson,RB,31,18,$9 ,,
98,Brock Purdy,QB,12,18,$9 ,SF,QB
99,Drake Maye,QB,13,18,$9 ,NE,QB
100,Jayden Higgins,WR,51,18,$8 ,HOU,WR
101,Tre Harris,WR,52,18,$8 ,,
102,Travis Etienne,RB,32,18,$9 ,,
103,JK Dobbins,RB,33,19,$9 ,,
104,Evan Engram,TE,6,19,$8 ,DEN,TE
105,Luther Burden,WR,53,19,$7 ,,
106,Brandon Aiyuk,WR,54,19,$7 ,SF,WR
107,Cam Skattebo,RB,34,19,$8 ,NYG,RB
108,Jordan Mason,RB,35,19,$8 ,MIN,RB
109,Dak Prescott,QB,14,20,$8 ,DAL,QB
110,Travis Kelce,TE,7,20,$8 ,KC,TE
111,Trevor Lawrence,QB,15,20,$8 ,JAC,QB
112,Justin Herbert,QB,16,20,$8 ,LAC,QB
113,Mark Andrews,TE,8,20,$7 ,BAL,TE
114,Javonte Williams,RB,36,20,$7 ,DAL,RB
115,Zach Charbonnet,RB,37,20,$7 ,SEA,RB
116,Bhayshul Tuten,RB,38,20,$7 ,JAC,RB
117,Austin Ekeler,RB,39,21,$6 ,WAS,RB
118,Rashid Shaheed,WR,55,21,$5 ,NO,WR
119,Tyjae Spears,RB,40,21,$6 ,TEN,RB
120,David Njoku,TE,9,21,$6 ,CLE,TE
121,Marvin Mims,WR,56,22,$4 ,,
122,Keon Coleman,WR,57,22,$4 ,BUF,WR
123,Tucker Kraft,TE,10,22,$6 ,GB,TE
124,Quinshon Judkins,RB,41,22,$5 ,CLE,RB
125,Rhamondre Stevenson,RB,42,22,$5 ,NE,RB
126,Dylan Sampson,RB,43,22,$5 ,CLE,RB
127,Jaydon Blue,RB,44,22,$5 ,DAL,RB
128,JJ McCarthy,QB,17,22,$4 ,,
129,Ray Davis,RB,45,22,$5 ,BUF,RB
130,Colston Loveland,TE,11,23,$5 ,CHI,TE
131,Jerome Ford,RB,46,23,$5 ,CLE,RB
132,Dallas Goedert,TE,12,23,$5 ,PHI,TE
133,Tyler Warren,TE,13,23,$5 ,IND,TE
134,Rachaad White,RB,47,23,$4 ,TB,RB
135,Tank Bigsby,RB,48,23,$4 ,JAC,RB
136,Roschon Johnson,RB,49,23,$4 ,CHI,RB
137,Trey Benson,RB,50,23,$4 ,ARI,RB
138,Najee Harris,RB,51,23,$4 ,LAC,RB
139,Jordan Love,QB,18,23,$3 ,GB,QB
140,Jared Goff,QB,19,23,$3 ,DET,QB
141,Kyle Williams,WR,58,23,$2 ,NE,WR
142,Hollywood Brown,WR,59,23,$2 ,,
143,Jaylen Wright,RB,52,23,$4 ,MIA,RB
144,Cedric Tillman,WR,60,23,$2 ,CLE,WR
145,CJ Stroud,QB,20,23,$3 ,,
146,Isaac Guerendo,RB,53,24,$3 ,SF,RB
147,Braelon Allen,RB,54,24,$3 ,NYJ,RB
148,Adam Thielen,WR,61,24,$2 ,CAR,WR
149,Christian Kirk,WR,62,24,$1 ,HOU,WR
150,Dalton Kincaid,TE,14,24,$1 ,BUF,TE
151,Rashod Bateman,WR,63,24,$1 ,BAL,WR
152,Jalen McMillan,WR,64,24,$1 ,TB,WR
153,Romeo Doubs,WR,65,25,$1 ,GB,WR
154,Jake Ferguson,TE,15,25,$1 ,DAL,TE
155,Brenton Strange,TE,16,25,$1 ,JAC,TE
156,Bryce Young,QB,21,25,$1 ,CAR,QB
157,Kyle Pitts,TE,17,25,$1 ,ATL,TE
158,Wan'Dale Robinson,WR,66,26,$1 ,NYG,WR
159,Mike Gesicki,TE,18,26,$1 ,CIN,TE
160,Xavier Legette,WR,67,26,$1 ,CAR,WR
161,Isaiah Likely,TE,19,26,$1 ,BAL,TE
162,Jack Bech,WR,68,27,$1 ,LV,WR
163,Hunter Henry,TE,20,27,$1 ,NE,TE
164,Demario Douglas,WR,69,27,$1 ,,
165,Rico Dowdle,RB,55,27,$1 ,CAR,RB
166,Pat Bryant,WR,70,27,$1 ,DEN,WR
167,Tyler Allgeier,RB,56,27,$1 ,ATL,RB
168,Brashard Smith,RB,57,27,$1 ,KC,RB
169,Michael Penix,QB,22,27,$1 ,,
170,Keenan Allen,WR,71,27,$1 ,FA,WR
171,Matthew Stafford,QB,23,27,$1 ,LAR,QB
172,Tua Tagovailoa,QB,24,27,$1 ,MIA,QB
173,Nick Chubb,RB,58,27,$1 ,HOU,RB
174,MarShawn Lloyd,RB,59,28,$1 ,GB,RB
175,Zach Ertz,TE,21,28,$1 ,WAS,TE
176,Geno Smith,QB,25,28,$1 ,LV,QB
177,Aaron Rodgers,QB,26,28,$1 ,PIT,QB
178,Cam Ward,QB,27,28,$1 ,,
179,Jonnu Smith,TE,22,28,$1 ,PIT,TE
180,Dyami Brown,WR,72,28,$1 ,JAC,WR
181,Quentin Johnston,WR,73,28,$1 ,LAC,WR
182,Justice Hill,RB,60,28,$1 ,BAL,RB
183,Chig Okonkwo,TE,23,29,$1 ,TEN,TE
184,Elijah Arroyo,TE,24,29,$1 ,SEA,TE
185,Darren Waller,TE,25,29,$1 ,MIA,TE
186,Mason Taylor,TE,26,29,$1 ,NYJ,TE
187,Dont'e Thornton,WR,74,29,$1 ,,
188,Pat Freiermuth,TE,27,30,$1 ,PIT,TE
189,Jalen Royals,WR,75,30,$1 ,KC,WR
190,Jacory Croskey-Merritt,RB,61,30,$1 ,WAS,RB
191,Tahj Brooks,RB,62,30,$1 ,CIN,RB
192,Blake Corum,RB,63,30,$1 ,LAR,RB
193,Josh Palmer,WR,76,30,$1 ,,
194,Jarquez Hunter,RB,64,31,$1 ,LAR,RB
195,DeAndre Hopkins,WR,77,31,$1 ,BAL,WR
196,Jaylin Noel,WR,78,31,$1 ,HOU,WR
197,Theo Johnson,TE,28,31,$1 ,NYG,TE
198,Alec Pierce,WR,79,31,$1 ,IND,WR
199,Calvin Austin,WR,80,31,$1 ,,
200,Dontayvion Wicks,WR,81,32,$1 ,GB,WR
201,Devaughn Vele,WR,82,32,$1 ,DEN,WR
202,Adonai Mitchell,WR,83,32,$1 ,IND,WR
203,Kyle Monangai,RB,65,32,$1 ,CHI,RB
204,Jalen Coker,WR,84,32,$1 ,CAR,WR
205,DJ Giddens,RB,66,32,$1 ,IND,RB
206,Roman Wilson,WR,85,32,$1 ,PIT,WR
207,Juwan Johnson,TE,29,32,$1 ,NO,TE
208,Jaleel McLaughlin,RB,67,33,$1 ,DEN,RB
209,Cade Otton,TE,30,33,$1 ,TB,TE
210,Miles Sanders,RB,68,33,$1 ,DAL,RB
211,Tyler Lockett,WR,86,33,$1 ,TEN,WR
212,Michael Wilson,WR,87,33,$1 ,ARI,WR
213,Dalton Schultz,TE,31,34,$1 ,HOU,TE
214,Sam Darnold,QB,28,34,$1 ,SEA,QB
215,Will Shipley,RB,69,34,$1 ,PHI,RB
216,Anthony Richardson,QB,29,34,$1 ,,
217,Tyler Higbee,TE,32,34,$1 ,LAR,TE
218,Ja'Tavion Sanders,TE,33,34,$1 ,CAR,TE
219,Elic Ayomanor,WR,88,34,$1 ,TEN,WR
220,Darius Slayton,WR,89,34,$1 ,NYG,WR
221,Keaton Mitchell,RB,70,35,$1 ,BAL,RB
222,Elijah Moore,WR,90,35,$1 ,BUF,WR
223,Malik Washington,WR,91,35,$1 ,MIA,WR
224,Andrei Iosivas,WR,92,35,$1 ,CIN,WR
225,Tutu Atwell,WR,93,35,$1 ,LAR,WR
226,Trevor Etienne,RB,71,35,$1 ,CAR,RB
227,Noah Gray,TE,34,35,$1 ,KC,TE
228,Terrance Ferguson,TE,35,35,$1 ,LAR,TE
229,Daniel Jones,QB,30,35,$1 ,IND,QB
230,Woody Marks,RB,72,35,$1 ,HOU,RB
231,Russell Wilson,QB,31,36,$1 ,NYG,QB
232,Elijah Mitchell,RB,73,36,$1 ,KC,RB
233,Devin Neal,RB,74,36,$1 ,NO,RB
234,Kareem Hunt,RB,75,36,$1 ,KC,RB
235,Isaiah Davis,RB,76,36,$1 ,NYJ,RB
236,Raheem Mostert,RB,77,36,$1 ,LV,RB
237,Jaxson Dart,QB,32,37,$1 ,NYG,QB
238,Amari Cooper,WR,94,37,$1 ,FA,WR
239,Tyler Shough,QB,33,37,$1 ,NO,QB
240,Isaac TeSlaa,WR,95,37,$1 ,DET,WR
241,Jalen Tolbert,WR,96,37,$1 ,DAL,WR
242,Oronde Gadsden,TE,36,37,$1 ,,
243,Harold Fannin,TE,37,37,$1 ,,
244,Sean Tucker,RB,78,37,$1 ,TB,RB
245,Tyler Conklin,TE,38,38,$1 ,LAC,TE
246,Ollie Gordon,RB,79,38,$1 ,,
247,Kayshon Boutte,WR,97,38,$1 ,NE,WR
248,Jalen Nailor,WR,98,38,$1 ,MIN,WR
249,Parker Washington,WR,99,38,$1 ,JAC,WR
250,Diontae Johnson,WR,100,38,$1 ,CLE,WR
