Rank,Tier,Name,Team,Position,BYE WEEK,SOS SEASON,ECR VS. ADP
1,1,Ja'Marr Chase,CIN,WR,10,3 out of 5 stars,0
2,1,Bijan Robinson,ATL,RB,5,4 out of 5 stars,1
3,1,Justin Jefferson,MIN,WR,6,2 out of 5 stars,1
4,1,Jahmyr Gibbs,DET,RB,8,2 out of 5 stars,1
5,2,CeeDee Lamb,DAL,WR,10,2 out of 5 stars,1
6,2,Malik Nabers,NYG,WR,14,2 out of 5 stars,5
7,2,Saquon Barkley,PHI,RB,9,3 out of 5 stars,-5
8,2,Amon-Ra St. Brown,DET,WR,8,3 out of 5 stars,1
9,2,Drake London,ATL,WR,5,3 out of 5 stars,10
10,2,Puka Nacua,LAR,WR,8,3 out of 5 stars,-3
11,2,Nico Collins,HOU,WR,6,4 out of 5 stars,3
12,3,Bucky Irving,TB,RB,9,3 out of 5 stars,9
13,3,Ladd McConkey,LAC,WR,12,3 out of 5 stars,12
14,3,Ashton Jeanty,LV,RB,8,2 out of 5 stars,-4
15,3,Brian Thomas Jr.,JAC,WR,8,4 out of 5 stars,0
16,3,Josh Jacobs,GB,RB,5,4 out of 5 stars,0
17,3,De'Von Achane,MIA,RB,12,4 out of 5 stars,-4
18,3,Trey McBride,ARI,TE,8,5 out of 5 stars,8
19,3,Derrick Henry,BAL,RB,7,4 out of 5 stars,-7
20,3,Brock Bowers,LV,TE,8,2 out of 5 stars,-2
21,4,A.J. Brown,PHI,WR,9,3 out of 5 stars,-4
22,4,Tyreek Hill,MIA,WR,12,3 out of 5 stars,6
23,4,George Kittle,SF,TE,14,3 out of 5 stars,16
24,4,Christian McCaffrey,SF,RB,14,3 out of 5 stars,-16
25,4,Jaxon Smith-Njigba,SEA,WR,8,3 out of 5 stars,7
26,4,Kyren Williams,LAR,RB,8,3 out of 5 stars,-3
27,4,Josh Allen,BUF,QB,7,4 out of 5 stars,-3
28,4,Tee Higgins,CIN,WR,10,3 out of 5 stars,1
29,4,Chase Brown,CIN,RB,10,4 out of 5 stars,-2
30,4,Jonathan Taylor,IND,RB,11,2 out of 5 stars,-10
31,5,Terry McLaurin,WAS,WR,12,3 out of 5 stars,5
32,5,Lamar Jackson,BAL,QB,7,3 out of 5 stars,-10
33,5,Jayden Daniels,WAS,QB,12,2 out of 5 stars,-3
34,5,Breece Hall,NYJ,RB,9,5 out of 5 stars,-1
35,5,James Cook,BUF,RB,7,4 out of 5 stars,-4
36,5,Alvin Kamara,NO,RB,11,4 out of 5 stars,4
37,5,Mike Evans,TB,WR,9,3 out of 5 stars,5
38,5,Rashee Rice,KC,WR,10,3 out of 5 stars,7
39,5,Garrett Wilson,NYJ,WR,9,4 out of 5 stars,-5
40,5,Kenneth Walker III,SEA,RB,8,3 out of 5 stars,3
41,5,Joe Burrow,CIN,QB,10,2 out of 5 stars,-4
42,5,DJ Moore,CHI,WR,5,2 out of 5 stars,5
43,5,Davante Adams,LAR,WR,8,3 out of 5 stars,-8
44,5,James Conner,ARI,RB,8,3 out of 5 stars,5
45,6,D'Andre Swift,CHI,RB,5,3 out of 5 stars,11
46,6,Chuba Hubbard,CAR,RB,14,3 out of 5 stars,0
47,6,Marvin Harrison Jr.,ARI,WR,8,4 out of 5 stars,-6
48,6,Jalen Hurts,PHI,QB,9,3 out of 5 stars,-10
49,6,David Montgomery,DET,RB,8,2 out of 5 stars,8
50,6,Zay Flowers,BAL,WR,7,3 out of 5 stars,8
51,6,Jameson Williams,DET,WR,8,3 out of 5 stars,10
52,6,Travis Hunter,JAC,WR,8,4 out of 5 stars,10
53,6,DeVonta Smith,PHI,WR,9,3 out of 5 stars,1
54,6,Baker Mayfield,TB,QB,9,2 out of 5 stars,13
55,6,Omarion Hampton,LAC,RB,12,2 out of 5 stars,-11
56,6,DK Metcalf,PIT,WR,5,4 out of 5 stars,-5
57,6,Courtland Sutton,DEN,WR,12,3 out of 5 stars,-5
58,6,Tetairoa McMillan,CAR,WR,14,4 out of 5 stars,11
59,6,Xavier Worthy,KC,WR,10,3 out of 5 stars,-4
60,6,Aaron Jones Sr.,MIN,RB,6,3 out of 5 stars,5
61,7,Rome Odunze,CHI,WR,5,2 out of 5 stars,20
62,7,RJ Harvey,DEN,RB,12,2 out of 5 stars,-3
63,7,Deebo Samuel Sr.,WAS,WR,12,3 out of 5 stars,21
64,7,Khalil Shakir,BUF,WR,7,3 out of 5 stars,26
65,7,Sam LaPorta,DET,TE,8,3 out of 5 stars,-15
66,7,Tony Pollard,TEN,RB,10,2 out of 5 stars,6
67,7,Patrick Mahomes II,KC,QB,10,3 out of 5 stars,-14
68,7,Chris Olave,NO,WR,11,4 out of 5 stars,10
69,7,T.J. Hockenson,MIN,TE,6,3 out of 5 stars,-6
70,7,Bo Nix,DEN,QB,12,4 out of 5 stars,4
71,7,George Pickens,DAL,WR,10,2 out of 5 stars,-3
72,7,Evan Engram,DEN,TE,12,3 out of 5 stars,11
73,7,Stefon Diggs,NE,WR,14,3 out of 5 stars,16
74,7,Jared Goff,DET,QB,8,2 out of 5 stars,32
75,7,TreVeyon Henderson,NE,RB,14,4 out of 5 stars,-15
76,7,Matthew Golden,GB,WR,5,2 out of 5 stars,20
77,7,Cooper Kupp,SEA,WR,8,3 out of 5 stars,11
78,7,Kaleb Johnson,PIT,RB,5,4 out of 5 stars,-7
