nil,position,name,team,cbs,espn,ffdp,adf,nfl,rank,10-Team,12-Team
1,WR,Ja'Marr Chase,CIN,2,1,1,1,-,1,1.01,1.01
2,RB,Bijan Robinson,ATL,1,2,2,2,-,2,1.02,1.02
3,RB,Saquon Barkley,PHI,3,3,4,3,-,3,1.03,1.03
4,RB,Jahmyr Gibbs,DET,4,5,3,4,-,4,1.04,1.04
5,WR,Justin Jefferson,MIN,6,4,5,5,-,5,1.05,1.05
6,WR,CeeDee Lamb,DAL,5,6,6,6,-,6,1.06,1.06
7,WR,Puka Nacua,LAR,11,8,11,8,-,9,1.07,1.07
8,RB,Christian McCaffrey,SF,8,7,8,11,-,10,1.08,1.08
9,WR,Amon-Ra St. Brown,DET,10,9,13,7,-,8,1.09,1.09
10,WR,Malik Nabers,NYG,9,11,9,9,-,12,1.1,1.1
11,RB,Ashton Jeanty,LV,7,10,10,10,-,13,2.01,1.11
12,WR,Nico Collins,HOU,14,14,16,13,-,7,2.02,1.12
13,RB,Derrick Henry,BAL,13,13,15,12,-,11,2.03,2.01
14,RB,De'Von Achane,MIA,12,12,12,14,-,16,2.04,2.02
15,WR,Brian Thomas Jr.,JAX,15,17,17,15,-,14,2.05,2.03
16,TE,Brock Bowers,LV,20,19,7,16,-,21,2.06,2.04
17,RB,Jonathan Taylor,IND,18,16,22,19,-,15,2.07,2.05
18,WR,A.J. Brown,PHI,17,15,21,18,-,20,2.08,2.06
19,WR,Drake London,ATL,16,23,18,17,-,18,2.09,2.07
20,RB,Josh Jacobs,GB,19,18,20,25,-,17,2.1,2.08
21,RB,Bucky Irving,TB,36,22,19,24,-,22,3.01,2.09
22,TE,Trey McBride,ARI,25,25,14,23,-,27,3.02,2.1
23,WR,Ladd McConkey,LAC,23,29,23,20,-,19,3.03,2.11
24,QB,Lamar Jackson,BAL,24,21,27,21,-,26,3.04,2.12
25,QB,Josh Allen,BUF,27,20,29,22,-,28,3.05,3.01
26,RB,Kyren Williams,LAR,21,24,26,28,-,25,3.06,3.02
27,WR,Tee Higgins,CIN,28,27,30,27,-,23,3.07,3.03
28,RB,Chase Brown,CIN,22,32,25,30,-,24,3.08,3.04
29,QB,Jayden Daniels,WAS,47,26,36,29,-,30,3.09,3.05
30,WR,Tyreek Hill,MIA,26,28,28,31,-,36,3.1,3.06
31,WR,Jaxon Smith-Njigba,SEA,35,36,33,26,-,29,4.01,3.07
32,TE,George Kittle,SF,33,35,24,36,-,32,4.02,3.08
33,WR,Garrett Wilson,NYJ,29,40,32,33,-,31,4.03,3.09
34,RB,James Cook,BUF,31,31,38,38,-,34,4.04,3.1
35,QB,Jalen Hurts,PHI,43,30,41,35,-,38,4.05,3.11
36,WR,Davante Adams,LAR,30,34,37,40,-,33,4.06,3.12
37,RB,Breece Hall,NYJ,32,47,31,34,-,39,4.07,4.01
38,WR,Mike Evans,TB,40,43,42,37,-,35,4.08,4.02
39,WR,Terry McLaurin,WAS,41,39,43,39,-,37,4.09,4.03
40,RB,Kenneth Walker,SEA,34,37,34,48,-,41,4.1,4.04
41,QB,Joe Burrow,CIN,39,33,45,32,-,51,5.01,4.05
42,WR,Marvin Harrison Jr.,ARI,38,41,39,41,-,42,5.02,4.06
43,RB,Alvin Kamara,NO,37,38,40,42,-,43,5.03,4.07
44,RB,Omarion Hampton,LAC,50,44,35,49,-,44,5.04,4.08
45,RB,Chuba Hubbard,CAR,45,46,46,56,-,40,5.05,4.09
46,TE,Sam LaPorta,DET,59,42,47,43,-,57,5.06,4.1
47,WR,D.J. Moore,CHI,51,52,48,46,-,48,5.07,4.11
48,WR,DK Metcalf,PIT,49,45,51,51,-,47,5.08,4.12
49,WR,Rashee Rice,KC,42,54,44,45,-,55,5.09,5.01
50,RB,Joe Mixon,HOU,46,50,52,54,-,46,5.1,5.02
51,WR,Xavier Worthy,KC,44,51,49,58,-,50,6.01,5.03
52,RB,James Conner,ARI,48,49,50,64,-,45,6.02,5.04
53,WR,Courtland Sutton,DEN,52,60,53,52,-,54,6.03,5.05
54,WR,Zay Flowers,BAL,63,56,61,55,-,49,6.04,5.06
55,WR,DeVonta Smith,PHI,54,62,57,60,-,52,6.05,5.07
