RK,TIERS,PLAYER NAME,TEAM,POS
1,1,Jahmyr Gibbs,DET,RB1
2,1,Ja'Marr Chase,CIN,WR1
3,1,Bijan Robinson,ATL,RB2
4,1,Puka Nacua,LAR,WR2
5,2,Amon-Ra St. Brown,DET,WR3
6,2,Jaxon Smith-Njigba,SEA,WR4
7,2,Christian McCaffrey,SF,RB3
8,2,Jonathan Taylor,IND,RB4
9,2,CeeDee Lamb,DAL,WR5
10,3,Justin Jefferson,MIN,WR6
11,3,James Cook III,BUF,RB5
12,3,Drake London,ATL,WR7
13,3,Brock Bowers,LV,TE1
14,3,Saquon Barkley,PHI,RB6
15,3,Ashton Jeanty,LV,RB7
16,3,Chase Brown,CIN,RB8
17,3,Kenneth Walker III,KC,RB9
18,4,Nico Collins,HOU,WR8
19,4,De'Von Achane,MIA,RB10
20,4,George Pickens,DAL,WR9
21,4,A.J. Brown,NE,WR10
22,4,Chris Olave,NO,WR11
23,4,DeVonta Smith,PHI,WR12
24,4,Omarion Hampton,LAC,RB11
25,4,Malik Nabers,NYG,WR13
26,4,Trey McBride,ARI,TE2
,4,,,
27,5,Derrick Henry,BAL,RB12
28,5,Zay Flowers,BAL,WR14
29,5,Tee Higgins,CIN,WR15
30,5,Jaylen Waddle,DEN,WR16
31,5,Josh Allen,BUF,QB1
32,5,Colston Loveland,CHI,TE3
33,5,Garrett Wilson,NYJ,WR17
34,5,Rashee Rice,KC,WR18
35,5,Breece Hall,NYJ,RB13
36,5,Tetairoa McMillan,CAR,WR19
37,5,Jeremiyah Love,ARI,RB14
38,5,Ladd McConkey,LAC,WR20
39,5,Kyren Williams,LAR,RB15
40,6,Javonte Williams,DAL,RB16
41,6,Emeka Egbuka,TB,WR21
42,6,Josh Jacobs,GB,RB17
43,6,Lamar Jackson,BAL,QB2
44,6,Luther Burden III,CHI,WR22
45,6,Travis Etienne Jr.,NO,RB18
46,6,Terry McLaurin,WAS,WR23
47,6,D'Andre Swift,CHI,RB19
48,6,DJ Moore,BUF,WR24
49,6,Tyler Warren,IND,TE4
50,6,Rome Odunze,CHI,WR25
51,6,Parker Washington,JAC,WR26
52,6,Joe Burrow,CIN,QB3
53,6,Cam Skattebo,NYG,RB20
54,7,Jameson Williams,DET,WR27
55,7,Davante Adams,LAR,WR28
56,7,Drake Maye,NE,QB4
57,7,Christian Watson,GB,WR29
58,7,Jayden Daniels,WAS,QB5
59,7,David Montgomery,HOU,RB21
60,7,Quinshon Judkins,CLE,RB22
61,7,Mike Evans,SF,WR30
62,7,Bucky Irving,TB,RB23
63,7,Bhayshul Tuten,JAC,RB24
64,7,Marvin Harrison Jr.,ARI,WR31
65,7,Jalen Hurts,PHI,QB6
66,7,Jadarian Price,SEA,RB25
67,7,Carnell Tate,TEN,WR32
68,7,Tucker Kraft,GB,TE5
69,7,Sam LaPorta,DET,TE6
70,7,TreVeyon Henderson,NE,RB26
71,7,Rhamondre Stevenson,NE,RB27
72,8,Caleb Williams,CHI,QB7
73,8,DK Metcalf,PIT,WR33
74,8,Justin Herbert,LAC,QB8
75,8,Jaylen Warren,PIT,RB28
76,8,Harold Fannin Jr.,CLE,TE7
77,8,Brian Thomas Jr.,JAC,WR34
78,8,Jonathon Brooks,CAR,RB29
79,8,Kyle Pitts Sr.,ATL,TE8
80,8,Trevor Lawrence,JAC,QB9
81,8,Chris Godwin Jr.,TB,WR35
82,8,Dak Prescott,DAL,QB10
83,8,Michael Wilson,ARI,WR36
84,8,Josh Downs,IND,WR37
85,8,Tony Pollard,TEN,RB30
86,8,Rico Dowdle,PIT,RB31
87,8,George Kittle,SF,TE9
88,8,Michael Pittman Jr.,PIT,WR38
89,8,De'Zhaun Stribling,SF,WR39
90,8,Quentin Johnston,LAC,WR40
,8,,,
91,8,J.K. Dobbins,DEN,RB32
92,9,Jayden Reed,GB,WR41
93,9,Chuba Hubbard,CAR,RB33
94,9,Brock Purdy,SF,QB11
95,9,Jordan Addison,MIN,WR42
96,9,Courtland Sutton,DEN,WR43
97,9,Alec Pierce,IND,WR44
98,9,KC Concepcion,CLE,WR45
99,9,Jaxson Dart,NYG,QB12
100,9,RJ Harvey,DEN,RB34
101,9,Bo Nix,DEN,QB13
102,9,Blake Corum,LAR,RB35
103,9,Jacory Croskey-Merritt,WAS,RB36
104,9,Dalton Kincaid,BUF,TE10
105,9,Kenny Gainwell,TB,RB37
106,9,Rachaad White,WAS,RB38
107,9,Matthew Golden,GB,WR46
108,9,Wan'Dale Robinson,TEN,WR47
109,9,Makai Lemon,PHI,WR48
110,9,Travis Kelce,KC,TE11
111,9,Kyle Monangai,CHI,RB39
112,9,Jordan Mason,MIN,RB40
113,9,Kyler Murray,MIN,QB14
114,9,Dallas Goedert,PHI,TE12
115,9,Jakobi Meyers,JAC,WR49
116,9,Matthew Stafford,LAR,QB15
117,9,Jalen Coker,CAR,WR50
118,9,Patrick Mahomes II,KC,QB16
119,9,Jared Goff,DET,QB17
120,10,Romeo Doubs,NE,WR51
121,10,Stefon Diggs,WAS,WR52
122,10,Isaiah Likely,NYG,TE13
123,10,Aaron Jones Sr.,MIN,RB41
124,10,Chris Rodriguez Jr.,JAC,RB42
125,10,Juwan Johnson,NO,TE14
126,10,Keaton Mitchell,LAC,RB43
127,10,Xavier Worthy,KC,WR53
128,10,Malik Willis,MIA,QB18
129,10,Mark Andrews,BAL,TE15
130,10,Jordan Love,GB,QB19
131,10,Jordyn Tyson,NO,WR54
132,10,Baker Mayfield,TB,QB20
133,10,Khalil Shakir,BUF,WR55
134,10,Tyjae Spears,TEN,RB44
135,10,Denzel Boston,CLE,WR56
136,10,Rashid Shaheed,SEA,WR57
137,10,Jake Ferguson,DAL,TE16
138,10,Woody Marks,HOU,RB45
139,10,Tyler Shough,NO,QB21
140,10,Zach Charbonnet,SEA,RB46
141,10,Tank Bigsby,PHI,RB47
142,10,Tyler Allgeier,ARI,RB48
143,10,Jonah Coleman,DEN,RB49
144,11,Houston Texans,HOU,DST1
145,11,Chig Okonkwo,WAS,TE17
146,11,Deebo Samuel Sr.,SF,WR58
147,11,Adonai Mitchell,NYJ,WR59
148,11,Travis Hunter,JAC,WR60
149,11,MarShawn Lloyd,GB,RB50
150,11,Mike Washington Jr.,LV,RB51
151,11,Jalen McMillan,TB,WR61
152,11,Emmett Johnson,KC,RB52
153,11,Jalen Nailor,LV,WR62
154,11,Brenton Strange,JAC,TE18
155,11,Dalton Schultz,HOU,TE19
156,11,Seattle Seahawks,SEA,DST2
157,11,Dylan Sampson,CLE,RB53
158,11,Sam Darnold,SEA,QB22
159,11,Daniel Jones,IND,QB23
160,11,Denver Broncos,DEN,DST3
161,11,Tyrone Tracy Jr.,NYG,RB54
162,11,Los Angeles Rams,LAR,DST4
163,11,Hunter Henry,NE,TE20
164,11,C.J. Stroud,HOU,QB24
165,11,Bryce Young,CAR,QB25
166,11,Ray Davis,BUF,RB55
167,11,Brandon Aubrey,DAL,K1
168,11,Brian Robinson Jr.,ATL,RB56
169,11,Keenan Allen,IND,WR63
170,11,Cam Ward,TEN,QB26
171,11,Ka'imi Fairbairn,HOU,K2
172,11,Philadelphia Eagles,PHI,DST5
173,11,New England Patriots,NE,DST6
174,11,Jaydon Blue,DAL,RB57
175,11,Alvin Kamara,NO,RB58
176,11,AJ Barner,SEA,TE21
177,11,Minnesota Vikings,MIN,DST7
178,11,Baltimore Ravens,BAL,DST8
179,11,Pittsburgh Steelers,PIT,DST9
180,11,Cameron Dicker,LAC,K3
181,11,Ryan Flournoy,DAL,WR64
182,12,Jacksonville Jaguars,JAC,DST10
183,12,Greg Dulcich,MIA,TE22
184,12,Cyrus Allen,KC,WR65
185,12,Dontayvion Wicks,PHI,WR66
186,12,Cam Little,JAC,K4
187,12,Tre Tucker,LV,WR67
188,12,Isiah Pacheco,DET,RB59
189,12,Terrance Ferguson,LAR,TE23
190,12,T.J. Hockenson,MIN,TE24
191,12,Pat Bryant,DEN,WR68
192,12,Los Angeles Chargers,LAC,DST11
193,12,Braelon Allen,NYJ,RB60
194,12,Jason Myers,SEA,K5
195,12,Eddy Pineiro,SF,K6
196,12,Jaylin Noel,HOU,WR69
197,12,Devaughn Vele,NO,WR70
198,12,Nicholas Singleton,TEN,RB61
199,12,Ja'Kobi Lane,BAL,WR71
200,12,Tyler Loop,BAL,K7
201,12,Cairo Santos,CHI,K8
202,12,Tre' Harris,LAC,WR72
203,12,Kansas City Chiefs,KC,DST12
204,12,Caleb Douglas,MIA,WR73
205,12,Green Bay Packers,GB,DST13
206,12,Oronde Gadsden II,LAC,TE25
207,12,Kenyon Sadiq,NYJ,TE26
208,12,Sean Tucker,TB,RB62
209,12,Jake Bates,DET,K9
210,12,Aaron Rodgers,PIT,QB27
211,12,Harrison Mevis,LAR,K10
212,12,Malik Washington,MIA,WR74
213,12,Ollie Gordon II,MIA,RB63
214,12,Jacoby Brissett,ARI,QB28
215,12,Geno Smith,NYJ,QB29
216,12,Omar Cooper Jr.,NYJ,WR75
217,12,Jerry Jeudy,CLE,WR76
218,12,Jauan Jennings,MIN,WR77
219,13,Fernando Mendoza,LV,QB30
220,13,Buffalo Bills,BUF,DST14
221,13,Tank Dell,HOU,WR78
222,13,James Conner,ARI,RB64
223,13,Will Reichard,MIN,K11
224,13,Andy Borregales,NE,K12
225,13,Kayshon Boutte,NE,WR79
226,13,Cade Otton,TB,TE27
227,13,Harrison Butker,KC,K13
228,13,George Holani,SEA,RB65
229,13,Chris Boswell,PIT,K14
230,13,Najee Harris,NYG,RB66
231,13,Rashod Bateman,BAL,WR80
232,13,Kimani Vidal,LAC,RB67
233,13,Isaiah Davis,NYJ,RB68
234,13,Malachi Fields,NYG,WR81
235,13,Zachariah Branch,ATL,WR82
236,13,Isaac TeSlaa,DET,WR83
237,13,Chase McLaughlin,TB,K15
238,13,Pat Freiermuth,PIT,TE28
239,13,Justice Hill,BAL,RB69
240,13,Detroit Lions,DET,DST15
241,13,Evan McPherson,CIN,K16
242,13,Kaytron Allen,WAS,RB70
243,13,Jack Bech,LV,WR84
244,13,San Francisco 49ers,SF,DST16
245,13,Colby Parkinson,LAR,TE29
246,13,Kaelon Black,SF,RB71
247,13,Antonio Williams,WAS,WR85
248,13,Gunnar Helm,TEN,TE30
249,13,Evan Engram,DEN,TE31
250,13,Chris Bell,MIA,WR86
251,13,Wil Lutz,DEN,K17
252,13,Calvin Ridley,TEN,WR87
253,13,Cooper Kupp,SEA,WR88
254,13,Ted Hurst III,TB,WR89
255,13,Demond Claiborne,MIN,RB72
256,13,Jahan Dotson,ATL,WR90
257,13,Darnell Mooney,NYG,WR91
258,13,Germie Bernard,PIT,WR92
259,13,Tyquan Thornton,KC,WR93
260,13,Samaje Perine,CIN,RB73
261,13,Keon Coleman,BUF,WR94
262,13,Jordan James,SF,RB74
263,13,Emanuel Wilson,SEA,RB75
264,14,Jaylen Wright,MIA,RB76
265,14,Adam Randall,BAL,RB77
266,14,DJ Giddens,IND,RB78
267,14,Darius Slayton,NYG,WR95
268,14,Charlie Smyth,NO,K18
269,14,Tua Tagovailoa,ATL,QB31
270,14,Xavier Legette,CAR,WR96
271,14,Troy Franklin,DEN,WR97
272,14,Michael Penix Jr.,ATL,QB32
273,14,Indianapolis Colts,IND,DST17
274,14,Elijah Sarratt,BAL,WR98
275,14,Chris Brooks,GB,RB79
276,14,Trey Smack,GB,K19
277,14,Eli Stowers,PHI,TE32
278,14,Atlanta Falcons,ATL,DST18
279,14,Seth McGowan,IND,RB80
280,14,Chicago Bears,CHI,DST19
281,14,LeQuint Allen Jr.,JAC,RB81
282,14,Darnell Washington,PIT,TE33
283,14,Tory Horton,SEA,WR99
284,14,Shedeur Sanders,CLE,QB33
285,14,Elic Ayomanor,TEN,WR100
286,14,Deshaun Watson,CLE,QB34
287,14,New York Giants,NYG,DST20
288,14,Kirk Cousins,LV,QB35
289,14,Malik Davis,DAL,RB82
290,14,David Njoku,LAC,TE34
291,14,Dallas Cowboys,DAL,DST21
292,14,Trey Benson,ARI,RB83
293,14,Chimere Dike,TEN,WR101
294,14,New Orleans Saints,NO,DST22
295,14,Darren Waller,CAR,TE35
296,14,Mike Gesicki,CIN,TE36
297,14,Christian Kirk,SF,WR102
298,14,Brandon Aiyuk,SF,WR103
299,14,Tampa Bay Buccaneers,TB,DST23
300,14,Ty Johnson,BUF,RB84
301,14,Emari Demercado,KC,RB85
302,14,Mason Taylor,NYJ,TE37
303,14,Isaiah Bond,CLE,WR104
304,14,Tahj Brooks,CIN,RB86
305,14,Erick All Jr.,CIN,TE38
306,14,Xavier Hutchinson,HOU,WR105
307,14,DeMario Douglas,NE,WR106
308,14,Marvin Mims Jr.,DEN,WR107
309,15,Tyler Higbee,LAR,TE39
310,15,Kendre Miller,NO,RB87
311,15,Charlie Kolar,LAC,TE40
312,15,Bryce Lance,NO,WR108
313,15,Jake Tonges,SF,TE41
314,15,Jake Elliott,PHI,K20
315,15,Cleveland Browns,CLE,DST24
316,15,Eli Raridon,NE,TE42
317,15,Carolina Panthers,CAR,DST25
318,15,Cincinnati Bengals,CIN,DST26
319,15,Treylon Burks,WAS,WR109
320,15,Phil Mafah,DAL,RB88
321,15,Devin Singletary,NYG,RB89
322,15,Theo Johnson,NYG,TE43
323,15,Trevor Etienne,CAR,RB90
324,15,Michael Mayer,LV,TE44
325,15,Blake Grupe,IND,K21
326,15,Skyler Bell,BUF,WR110
327,15,Tennessee Titans,TEN,DST27
328,15,Malik Benson,LV,WR111
329,15,Kaleb Johnson,PIT,RB91
330,15,Joshua Palmer,BUF,WR112
331,15,Tyler Bass,BUF,K22
332,15,Andrei Iosivas,CIN,WR113
333,15,Nick Folk,ATL,K23
334,15,Zane Gonzalez,FA,K24
335,15,Elijah Arroyo,SEA,TE45
336,15,Ryan Fitzgerald,CAR,K25
337,15,Spencer Shrader,IND,K26
338,15,Ashton Dulin,IND,WR114
339,15,Ben Sauls,NYG,K27
340,15,Brashard Smith,KC,RB92
341,15,Oscar Delp,NO,TE46
342,15,Carson Beck,ARI,QB36
343,15,Kyle Williams,NE,WR115
344,15,Sione Vaki,DET,RB93
345,15,Roschon Johnson,CHI,RB94
346,15,Jalen Royals,KC,WR116
347,15,New York Jets,NYJ,DST28
348,15,Las Vegas Raiders,LV,DST29
349,15,Raheim Sanders,CLE,RB95
350,15,Jawhar Jordan,HOU,RB96
351,15,Brenen Thompson,LAC,WR117
352,15,Devin Neal,NO,RB97
353,15,Demarcus Robinson,SF,WR118
354,15,Colbie Young,CIN,WR119
355,15,CJ Daniels,LAR,WR120
356,15,Savion Williams,GB,WR121
357,15,Jalen Tolbert,MIA,WR122
358,15,Zavion Thomas,CHI,WR123
